Rank,Group,Name ,Country,Jump_1_Prelim,Jump_2_Prelim,Jump_3_Prelim,Jump_1_Final,Jump_2_Final,Jump_3_Final,Jump_4_Final,Jump_5_Final,Jump_6_Final,Year,Gender
1,A,Tara Davis-Woodhall,United States,6.64,6.9,,6.93,7.05,6.95,7.1,6.61,6.68,2024,Women
2,B,Larissa Iapichino,Italy,6.6,6.87,,6.78,6.87,x,6.83,6.78,6.85,2024,Women
3,B,Malaika Mihambo,Germany,x,x,6.86,6.77,6.81,6.95,x,6.98,x,2024,Women
4,A,Ese Brume,Nigeria,6.44,6.4,6.76,x,6.59,6.63,6.7,6.51,6.7,2024,Women
5,A,Ruth Usoro,Nigeria,x,6.68,6.65,6.58,x,5.8,,,,2024,Women
6,A,Jasmine Moore,United States,6.35,6.66,x,6.96,6.92,6.62,6.75,6.88,6.88,2024,Women
7,B,Prestina Ochonogor,Nigeria,6.27,6.65,6.29,6.07,6.24,6.24,,,,2024,Women
8,B,Monae' Nichols,United States,6.43,6.52,6.64,6.64,x,6.36,6.63,6.67,6.66,2024,Women
9,A,Alina Rotaru-Kottmann,Romania,6.45,6.46,6.63,6.46,6.46,6.65,6.55,6.67,6.5,2024,Women
10,B,Ackelia Smith,Jamaica,6.51,6.59,6.58,6.66,6.52,x,5.86,6.4,6.42,2024,Women
11,B,Marthe Koala,Burkina Faso,6.36,6.59,6.57,6.61,6.51,6.46,,,,2024,Women
12,B,Hilary Kpatcha,France,6.18,6.2,6.59,6.56,5.54,5.78,,,,2024,Women
13,A,Xiong Shiqi,China,6.58,6.56,6.52,,,,,,,2024,Women
14,A,Pauline Hondema,Netherlands,4.72,6.21,6.55,,,,,,,2024,Women
15,B,F†tima Diame,Spain,6.37,6.52,x,,,,,,,2024,Women
16,B,Ivana ?panovi?,Serbia,x,6.51,6.31,,,,,,,2024,Women
17,A,Chanice Porter,Jamaica,6.48,6.21,x,,,,,,,2024,Women
18,A,Milica Garda?evi?,Serbia,6.48,x,x,,,,,,,2024,Women
19,B,Plamena Mitkova,Bulgaria,6.45,6.42,6.33,,,,,,,2024,Women
20,A,Laura Raquel MÅller,Germany,6.4,6.13,6.38,,,,,,,2024,Women
21,B,Petra Farkas,Hungary,6.4,6.33,6.22,,,,,,,2024,Women
22,A,Natalia Linares,Colombia,x,6.4,6.04,,,,,,,2024,Women
23,A,Eliane Martins,Brazil,6.36,x,x,,,,,,,2024,Women
24,A,Agate de Sousa,Portugal,x,6.34,6.27,,,,,,,2024,Women
25,B,Brooke Buschkuehl,Australia,6.29,6.1,6.31,,,,,,,2024,Women
26,B,Sumire Hata,Japan,6.21,x,6.31,,,,,,,2024,Women
27,A,Nikola Horowska,Poland,x,6.31,x,,,,,,,2024,Women
28,B,Mikaelle Assani,Germany,5.64,6.13,6.24,,,,,,,2024,Women
29,A,Esraa Owis,Egypt,5.93,6.11,6.2,,,,,,,2024,Women
30,A,Tessy Ebosele,Spain,6.02,x,6.09,,,,,,,2024,Women
31,B,Lissandra Campos,Brazil,5.9,6.02,x,,,,,,,2024,Women
1,A,Miltiadis Tentoglou,Greece,8.32,,,,8.48,8.24,,8.31,x,2024,Men
2,B,Radek Ju?ka,Czech Republic,7.85,8.15,,,7.69,7.83,,,,2024,Men
3,B,Wang Jianan,China,8.12,,,,x,7.92,,-,8.03,2024,Men
4,B,Simon Ehammer,Switzerland,7.69,8.09,6.62,,8.2,8.11,,x,x,2024,Men
5,B,Filip Pravdica,Croatia,7.68,8.04,7.59,,7.9,7.87,,,,2024,Men
6,A,Mattia Furlani,Italy,8.01,7.95,x,,8.25,x,,8.34,8.27,2024,Men
